start_date_time;RCORR_E
2014-11-01 00:00:00;236.340
2014-11-01 00:01:00;236.340
2014-11-01 00:02:00;237.820
2014-11-01 00:03:00;232.960
2014-11-01 00:04:00;234.170
2014-11-01 00:05:00;238.040
2014-11-01 00:06:00;237.520
2014-11-01 00:07:00;240.670
2014-11-01 00:08:00;238.320
2014-11-01 00:09:00;238.120
2014-11-01 00:10:00;232.010
2014-11-01 00:11:00;235.590
2014-11-01 00:12:00;241.250
2014-11-01 00:13:00;236.720
2014-11-01 00:14:00;236.690
2014-11-01 00:15:00;235.640
2014-11-01 00:16:00;232.960
2014-11-01 00:17:00;232.510
2014-11-01 00:18:00;238.440
2014-11-01 00:19:00;240.250
2014-11-01 00:20:00;239.620
2014-11-01 00:21:00;237.770
2014-11-01 00:22:00;230.010
2014-11-01 00:23:00;236.320
2014-11-01 00:24:00;233.040
2014-11-01 00:25:00;237.520
2014-11-01 00:26:00;242.250
2014-11-01 00:27:00;235.390
2014-11-01 00:28:00;238.800
2014-11-01 00:29:00;232.010
2014-11-01 00:30:00;237.340
2014-11-01 00:31:00;235.020
2014-11-01 00:32:00;233.060
2014-11-01 00:33:00;234.820
2014-11-01 00:34:00;229.130
2014-11-01 00:35:00;239.220
2014-11-01 00:36:00;235.820
2014-11-01 00:37:00;235.920
2014-11-01 00:38:00;238.950
2014-11-01 00:39:00;239.650
2014-11-01 00:40:00;237.870
2014-11-01 00:41:00;236.990
2014-11-01 00:42:00;244.430
2014-11-01 00:43:00;226.480
2014-11-01 00:44:00;238.920
2014-11-01 00:45:00;229.460
2014-11-01 00:46:00;238.700
2014-11-01 00:47:00;237.740
2014-11-01 00:48:00;240.600
2014-11-01 00:49:00;239.450
2014-11-01 00:50:00;240.470
2014-11-01 00:51:00;232.340
2014-11-01 00:52:00;235.820
2014-11-01 00:53:00;236.420
2014-11-01 00:54:00;239.200
2014-11-01 00:55:00;235.990
2014-11-01 00:56:00;237.370
2014-11-01 00:57:00;239.820
2014-11-01 00:58:00;233.890
2014-11-01 00:59:00;237.370
2014-11-01 01:00:00;239.950
2014-11-01 01:01:00;238.240
2014-11-01 01:02:00;237.740
2014-11-01 01:03:00;238.190
2014-11-01 01:04:00;233.810
2014-11-01 01:05:00;239.050
2014-11-01 01:06:00;232.610
2014-11-01 01:07:00;237.740
2014-11-01 01:08:00;238.140
2014-11-01 01:09:00;235.420
2014-11-01 01:10:00;234.920
2014-11-01 01:11:00;237.790
2014-11-01 01:12:00;233.110
2014-11-01 01:13:00;236.720
2014-11-01 01:14:00;238.120
2014-11-01 01:15:00;236.990
2014-11-01 01:16:00;237.740
2014-11-01 01:17:00;239.020
2014-11-01 01:18:00;242.150
2014-11-01 01:19:00;236.020
2014-11-01 01:20:00;239.420
2014-11-01 01:21:00;235.040
2014-11-01 01:22:00;239.670
2014-11-01 01:23:00;237.470
2014-11-01 01:24:00;238.340
2014-11-01 01:25:00;237.770
2014-11-01 01:26:00;230.660
2014-11-01 01:27:00;243.630
2014-11-01 01:28:00;240.400
2014-11-01 01:29:00;230.640
2014-11-01 01:30:00;243.250
2014-11-01 01:31:00;239.000
2014-11-01 01:32:00;242.820
2014-11-01 01:33:00;233.310
2014-11-01 01:34:00;236.840
2014-11-01 01:35:00;235.870
2014-11-01 01:36:00;237.120
2014-11-01 01:37:00;236.990
2014-11-01 01:38:00;237.540
2014-11-01 01:39:00;233.110
2014-11-01 01:40:00;235.590
2014-11-01 01:41:00;231.290
2014-11-01 01:42:00;233.560
2014-11-01 01:43:00;234.190
2014-11-01 01:44:00;237.790
2014-11-01 01:45:00;233.110
2014-11-01 01:46:00;238.950
2014-11-01 01:47:00;242.250
2014-11-01 01:48:00;236.970
2014-11-01 01:49:00;237.240
2014-11-01 01:50:00;229.790
2014-11-01 01:51:00;232.410
2014-11-01 01:52:00;239.220
2014-11-01 01:53:00;231.490
2014-11-01 01:54:00;236.740
2014-11-01 01:55:00;235.570
